Dataset,Solver,Time,Size,Certificate
aa10,ilp,0.0,6,"['25', '1', '21', '18', '40', '32']"
aa11,ilp,0.1,11,"['38', '23', '19', '9', '0', '24', '2', '32', '28', '22', '1']"
aa13,ilp,0.1,12,"['35', '27', '5', '0', '52', '43', '32', '23', '30', '50', '40', '17']"
aa14,ilp,0.2,19,"['38', '16', '18', '42', '14', '49', '39', '31', '23', '22', '55', '50', '57', '12', '24', '10', '46', '21', '54']"
aa15,ilp,0.0,7,"['43', '3', '19', '5', '18', '7', '17']"
aa16,ilp,0.0,0,[]
aa17,ilp,0.3,25,"['59', '20', '25', '35', '16', '9', '29', '42', '14', '7', '8', '54', '32', '28', '17', '31', '3', '22', '26', '12', '44', '11', '21', '37', '41']"
aa18,ilp,0.0,14,"['6', '38', '56', '16', '9', '28', '45', '3', '55', '5', '12', '51', '24', '34']"
aa19,ilp,0.1,19,"['6', '57', '35', '23', '27', '66', '4', '22', '30', '40', '11', '42', '43', '54', '39', '24', '71', '41', '49']"
aa20,ilp,0.2,19,"['60', '33', '52', '32', '13', '59', '20', '37', '9', '18', '43', '48', '62', '50', '57', '51', '35', '46', '54']"
aa21,ilp,0.0,9,"['6', '20', '26', '11', '7', '19', '2', '21', '27']"
aa22,ilp,0.1,16,"['38', '33', '23', '15', '29', '24', '52', '2', '12', '30', '22', '50', '51', '44', '1', '34']"
aa23,ilp,0.1,18,"['6', '57', '59', '44', '19', '56', '16', '5', '52', '7', '28', '39', '30', '55', '70', '10', '21', '41']"
aa24,ilp,0.1,21,"['47', '38', '23', '60', '44', '81', '15', '73', '2', '45', '3', '82', '40', '37', '14', '88', '39', '75', '67', '1', '41']"
aa25,ilp,0.0,1,['13']
aa26,ilp,0.1,13,"['44', '42', '52', '26', '53', '35', '30', '51', '10', '46', '40', '1', '41']"
aa27,ilp,0.1,11,"['33', '25', '29', '0', '36', '52', '7', '37', '22', '12', '10']"
aa28,ilp,0.1,27,"['6', '59', '47', '38', '64', '35', '27', '19', '16', '15', '9', '18', '14', '43', '72', '54', '2', '12', '28', '53', '70', '66', '44', '71', '37', '39', '77']"
aa29,ilp,0.1,21,"['6', '66', '32', '45', '22', '78', '10', '27', '21', '36', '15', '16', '80', '18', '14', '7', '48', '56', '39', '70', '52']"
aa30,ilp,0.0,4,"['26', '1', '8', '2']"
aa31,ilp,0.0,2,"['9', '2']"
aa32,ilp,0.6,30,"['20', '38', '64', '79', '35', '23', '60', '27', '81', '15', '48', '0', '76', '8', '4', '28', '17', '130', '31', '39', '26', '12', '24', '10', '82', '44', '83', '1', '71', '77']"
aa33,ilp,0.0,4,"['32', '42', '43', '46']"
aa34,ilp,0.0,13,"['47', '38', '19', '5', '14', '48', '32', '13', '3', '23', '22', '24', '11']"
aa35,ilp,0.0,10,"['26', '3', '22', '15', '21', '0', '34', '43', '14', '36']"
aa36,ilp,0.0,7,"['20', '35', '19', '9', '10', '40', '41']"
aa37,ilp,0.0,5,"['6', '28', '11', '43', '2']"
aa38,ilp,0.1,26,"['6', '47', '33', '25', '0', '74', '8', '22', '30', '29', '63', '20', '18', '42', '58', '26', '7', '48', '54', '45', '56', '53', '39', '55', '70', '71']"
aa39,ilp,0.1,23,"['20', '33', '25', '19', '15', '5', '9', '29', '42', '8', '32', '13', '31', '3', '22', '30', '50', '26', '12', '24', '11', '21', '37']"
aa40,ilp,0.1,22,"['38', '64', '19', '61', '14', '73', '48', '54', '32', '28', '62', '30', '78', '55', '70', '10', '75', '58', '71', '21', '37', '68']"
aa41,ilp,0.8,40,"['65', '38', '106', '98', '60', '8', '110', '24', '2', '71', '96', '67', '10', '63', '103', '101', '40', '115', '68', '20', '69', '124', '15', '19', '86', '9', '18', '66', '125', '97', '54', '88', '112', '89', '39', '70', '46', '14', '107', '41']"
aa42,ilp,0.3,30,"['6', '64', '94', '35', '84', '61', '90', '25', '52', '2', '32', '97', '12', '29', '82', '11', '37', '69', '19', '86', '72', '17', '88', '62', '89', '51', '96', '87', '68', '49']"
aa43,ilp,0.1,18,"['6', '31', '33', '25', '3', '23', '30', '44', '19', '10', '12', '24', '5', '40', '34', '8', '36', '45']"
aa44,ilp,0.1,10,"['25', '35', '5', '15', '18', '29', '34', '32', '13', '28']"
