dataset,vertices,edges
aa10-ba-5.edgelist,69,198
aa10-ba-6.edgelist,69,198
aa10-ba-7.edgelist,69,198
aa10-ba-8.edgelist,69,198
aa10-ba-9.edgelist,69,198
aa10-cl-5.edgelist,69,173
aa10-cl-6.edgelist,69,185
aa10-cl-7.edgelist,69,180
aa10-cl-8.edgelist,69,195
aa10-cl-9.edgelist,69,181
aa10-er-5.edgelist,69,188
aa10-er-6.edgelist,69,195
aa10-er-7.edgelist,69,198
aa10-er-8.edgelist,69,175
aa10-er-9.edgelist,69,209
aa10-to-5.edgelist,69,99
aa10-to-6.edgelist,69,108
aa10-to-7.edgelist,69,114
aa10-to-8.edgelist,69,100
aa10-to-9.edgelist,69,117
aa11-ba-5.edgelist,103,300
aa11-ba-6.edgelist,103,300
aa11-ba-7.edgelist,103,300
aa11-ba-8.edgelist,103,300
aa11-ba-9.edgelist,103,300
aa11-cl-5.edgelist,103,290
aa11-cl-6.edgelist,103,301
aa11-cl-7.edgelist,103,282
aa11-cl-8.edgelist,103,335
aa11-cl-9.edgelist,103,278
aa11-er-5.edgelist,103,300
aa11-er-6.edgelist,103,331
aa11-er-7.edgelist,103,319
aa11-er-8.edgelist,103,287
aa11-er-9.edgelist,103,350
aa11-to-5.edgelist,103,191
aa11-to-6.edgelist,103,202
aa11-to-7.edgelist,103,210
aa11-to-8.edgelist,103,165
aa11-to-9.edgelist,103,205
aa13-ba-5.edgelist,131,384
aa13-ba-6.edgelist,131,384
aa13-ba-7.edgelist,131,384
aa13-ba-8.edgelist,131,384
aa13-ba-9.edgelist,131,384
aa13-cl-5.edgelist,131,384
aa13-cl-6.edgelist,131,385
aa13-cl-7.edgelist,131,378
aa13-cl-8.edgelist,131,393
aa13-cl-9.edgelist,131,382
aa13-er-5.edgelist,131,384
aa13-er-6.edgelist,131,427
aa13-er-7.edgelist,131,396
aa13-er-8.edgelist,131,397
aa13-er-9.edgelist,131,421
aa13-to-5.edgelist,131,228
aa13-to-6.edgelist,131,263
aa13-to-7.edgelist,131,257
aa13-to-8.edgelist,131,235
aa13-to-9.edgelist,131,244
aa14-ba-5.edgelist,127,610
aa14-ba-6.edgelist,127,610
aa14-ba-7.edgelist,127,610
aa14-ba-8.edgelist,127,610
aa14-ba-9.edgelist,127,610
aa14-cl-5.edgelist,127,475
aa14-cl-6.edgelist,127,498
aa14-cl-7.edgelist,127,470
aa14-cl-8.edgelist,127,538
aa14-cl-9.edgelist,127,483
aa14-er-5.edgelist,127,516
aa14-er-6.edgelist,127,552
aa14-er-7.edgelist,127,524
aa14-er-8.edgelist,127,528
aa14-er-9.edgelist,127,582
aa14-to-5.edgelist,127,333
aa14-to-6.edgelist,127,343
aa14-to-7.edgelist,127,349
aa14-to-8.edgelist,127,316
aa14-to-9.edgelist,127,358
aa15-ba-5.edgelist,67,192
aa15-ba-6.edgelist,67,192
aa15-ba-7.edgelist,67,192
aa15-ba-8.edgelist,67,192
aa15-ba-9.edgelist,67,192
aa15-cl-5.edgelist,67,149
aa15-cl-6.edgelist,67,181
aa15-cl-7.edgelist,67,169
aa15-cl-8.edgelist,67,185
aa15-cl-9.edgelist,67,173
aa15-er-5.edgelist,67,183
aa15-er-6.edgelist,67,181
aa15-er-7.edgelist,67,192
aa15-er-8.edgelist,67,162
aa15-er-9.edgelist,67,194
aa15-to-5.edgelist,67,100
aa15-to-6.edgelist,67,113
aa15-to-7.edgelist,67,122
aa15-to-8.edgelist,67,100
aa15-to-9.edgelist,67,120
aa16-ba-5.edgelist,14,24
aa16-ba-6.edgelist,14,24
aa16-ba-7.edgelist,14,24
aa16-ba-8.edgelist,14,24
aa16-ba-9.edgelist,14,24
aa16-cl-5.edgelist,14,14
aa16-cl-6.edgelist,14,18
aa16-cl-7.edgelist,14,12
aa16-cl-8.edgelist,14,7
aa16-cl-9.edgelist,14,10
aa16-er-5.edgelist,14,18
aa16-er-6.edgelist,14,12
aa16-er-7.edgelist,14,21
aa16-er-8.edgelist,14,15
aa16-er-9.edgelist,14,23
aa16-to-5.edgelist,14,11
aa16-to-6.edgelist,14,8
aa16-to-7.edgelist,14,11
aa16-to-8.edgelist,14,7
aa16-to-9.edgelist,14,13
aa17-ba-5.edgelist,153,740
