dataset,vertices,edges
aa10-ba-0,69,198
aa10-ba-1,69,198
aa10-ba-10,69,198
aa10-ba-11,69,198
aa10-ba-12,69,198
aa10-ba-13,69,198
aa10-ba-14,69,198
aa10-ba-2,69,198
aa10-ba-3,69,198
aa10-ba-4,69,198
aa10-ba-5,69,198
aa10-ba-6,69,198
aa10-ba-7,69,198
aa10-ba-8,69,198
aa10-ba-9,69,198
aa10-cl-0,69,182
aa10-cl-1,69,176
aa10-cl-10,69,205
aa10-cl-11,69,189
aa10-cl-12,69,178
aa10-cl-13,69,187
aa10-cl-14,69,186
aa10-cl-2,69,194
aa10-cl-3,69,174
aa10-cl-4,69,210
aa10-cl-5,69,173
aa10-cl-6,69,185
aa10-cl-7,69,180
aa10-cl-8,69,195
aa10-cl-9,69,181
aa10-er-0,69,216
aa10-er-1,69,193
aa10-er-10,69,202
aa10-er-11,69,186
aa10-er-12,69,166
aa10-er-13,69,176
aa10-er-14,69,195
aa10-er-2,69,177
aa10-er-3,69,178
aa10-er-4,69,183
aa10-er-5,69,188
aa10-er-6,69,195
aa10-er-7,69,198
aa10-er-8,69,175
aa10-er-9,69,209
aa10-to-0,69,118
aa10-to-1,69,119
aa10-to-10,69,111
aa10-to-11,69,110
aa10-to-12,69,97
aa10-to-13,69,109
aa10-to-14,69,116
aa10-to-2,69,97
aa10-to-3,69,102
aa10-to-4,69,122
aa10-to-5,69,99
aa10-to-6,69,108
aa10-to-7,69,114
aa10-to-8,69,100
aa10-to-9,69,117
aa11-ba-0,103,300
aa11-ba-1,103,300
aa11-ba-10,103,300
aa11-ba-11,103,300
aa11-ba-12,103,300
aa11-ba-13,103,300
aa11-ba-14,103,300
aa11-ba-2,103,300
aa11-ba-3,103,300
aa11-ba-4,103,300
aa11-ba-5,103,300
aa11-ba-6,103,300
aa11-ba-7,103,300
aa11-ba-8,103,300
aa11-ba-9,103,300
aa11-cl-0,103,278
aa11-cl-1,103,299
aa11-cl-10,103,291
aa11-cl-11,103,309
aa11-cl-12,103,319
aa11-cl-13,103,290
aa11-cl-14,103,301
aa11-cl-2,103,307
aa11-cl-3,103,300
aa11-cl-4,103,320
aa11-cl-5,103,290
aa11-cl-6,103,301
aa11-cl-7,103,282
aa11-cl-8,103,335
aa11-cl-9,103,278
aa11-er-0,103,332
aa11-er-1,103,328
aa11-er-10,103,296
aa11-er-11,103,302
aa11-er-12,103,290
aa11-er-13,103,327
aa11-er-14,103,293
aa11-er-2,103,308
aa11-er-3,103,287
aa11-er-4,103,295
aa11-er-5,103,300
aa11-er-6,103,331
aa11-er-7,103,319
aa11-er-8,103,287
aa11-er-9,103,350
aa11-to-0,103,195
aa11-to-1,103,198
aa11-to-10,103,189
aa11-to-11,103,179
aa11-to-12,103,179
aa11-to-13,103,189
aa11-to-14,103,176
aa11-to-2,103,182
aa11-to-3,103,181
aa11-to-4,103,197
aa11-to-5,103,191
aa11-to-6,103,202
aa11-to-7,103,210
aa11-to-8,103,165
aa11-to-9,103,205
aa13-ba-0,131,384
aa13-ba-1,131,384
aa13-ba-10,131,384
aa13-ba-11,131,384
aa13-ba-12,131,384
aa13-ba-13,131,384
aa13-ba-14,131,384
aa13-ba-2,131,384
aa13-ba-3,131,384
aa13-ba-4,131,384
aa13-ba-5,131,384
aa13-ba-6,131,384
aa13-ba-7,131,384
aa13-ba-8,131,384
aa13-ba-9,131,384
aa13-cl-0,131,348
aa13-cl-1,131,359
aa13-cl-10,131,394
aa13-cl-11,131,384
aa13-cl-12,131,391
aa13-cl-13,131,387
aa13-cl-14,131,351
aa13-cl-2,131,375
aa13-cl-3,131,383
aa13-cl-4,131,367
aa13-cl-5,131,384
aa13-cl-6,131,385
aa13-cl-7,131,378
aa13-cl-8,131,393
aa13-cl-9,131,382
aa13-er-0,131,418
aa13-er-1,131,420
aa13-er-10,131,358
aa13-er-11,131,369
aa13-er-12,131,353
aa13-er-13,131,383
aa13-er-14,131,373
aa13-er-2,131,383
aa13-er-3,131,361
aa13-er-4,131,362
aa13-er-5,131,384
aa13-er-6,131,427
aa13-er-7,131,396
aa13-er-8,131,397
aa13-er-9,131,421
aa13-to-0,131,247
aa13-to-1,131,240
aa13-to-10,131,213
aa13-to-11,131,224
aa13-to-12,131,212
aa13-to-13,131,226
aa13-to-14,131,204
aa13-to-2,131,218
aa13-to-3,131,198
aa13-to-4,131,208
aa13-to-5,131,228
aa13-to-6,131,263
aa13-to-7,131,257
aa13-to-8,131,235
aa13-to-9,131,244
aa14-ba-0,127,610
aa14-ba-1,127,610
aa14-ba-10,127,610
aa14-ba-11,127,610
aa14-ba-12,127,610
aa14-ba-13,127,610
aa14-ba-14,127,610
aa14-ba-2,127,610
aa14-ba-3,127,610
aa14-ba-4,127,610
aa14-ba-5,127,610
aa14-ba-6,127,610
aa14-ba-7,127,610
aa14-ba-8,127,610
aa14-ba-9,127,610
aa14-cl-0,127,491
aa14-cl-1,127,521
aa14-cl-10,127,515
aa14-cl-11,127,541
aa14-cl-12,127,522
aa14-cl-13,127,512
aa14-cl-14,127,535
aa14-cl-2,127,536
aa14-cl-3,127,520
aa14-cl-4,127,510
aa14-cl-5,127,475
aa14-cl-6,127,498
aa14-cl-7,127,470
aa14-cl-8,127,538
aa14-cl-9,127,483
aa14-er-0,127,547
aa14-er-1,127,553
aa14-er-10,127,525
aa14-er-11,127,530
aa14-er-12,127,499
aa14-er-13,127,529
aa14-er-14,127,502
aa14-er-2,127,535
aa14-er-3,127,517
aa14-er-4,127,516
aa14-er-5,127,516
aa14-er-6,127,552
aa14-er-7,127,524
aa14-er-8,127,528
aa14-er-9,127,582
aa14-to-0,127,353
aa14-to-1,127,353
aa14-to-10,127,332
aa14-to-11,127,322
aa14-to-12,127,301
aa14-to-13,127,334
aa14-to-14,127,333
aa14-to-2,127,328
aa14-to-3,127,312
aa14-to-4,127,339
aa14-to-5,127,333
aa14-to-6,127,343
aa14-to-7,127,349
aa14-to-8,127,316
aa14-to-9,127,358
aa15-ba-0,67,192
aa15-ba-1,67,192
aa15-ba-10,67,192
aa15-ba-11,67,192
aa15-ba-12,67,192
aa15-ba-13,67,192
aa15-ba-14,67,192
aa15-ba-2,67,192
aa15-ba-3,67,192
aa15-ba-4,67,192
aa15-ba-5,67,192
aa15-ba-6,67,192
aa15-ba-7,67,192
aa15-ba-8,67,192
aa15-ba-9,67,192
aa15-cl-0,67,170
aa15-cl-1,67,157
aa15-cl-10,67,173
aa15-cl-11,67,183
aa15-cl-12,67,182
aa15-cl-13,67,172
aa15-cl-14,67,180
aa15-cl-2,67,171
aa15-cl-3,67,168
aa15-cl-4,67,205
aa15-cl-5,67,149
aa15-cl-6,67,181
aa15-cl-7,67,169
aa15-cl-8,67,185
aa15-cl-9,67,173
aa15-er-0,67,205
aa15-er-1,67,182
aa15-er-10,67,190
aa15-er-11,67,175
aa15-er-12,67,156
aa15-er-13,67,162
aa15-er-14,67,184
aa15-er-2,67,168
aa15-er-3,67,167
aa15-er-4,67,173
aa15-er-5,67,183
aa15-er-6,67,181
aa15-er-7,67,192
aa15-er-8,67,162
aa15-er-9,67,194
aa15-to-0,67,114
aa15-to-1,67,114
aa15-to-10,67,113
aa15-to-11,67,105
aa15-to-12,67,97
aa15-to-13,67,95
aa15-to-14,67,108
aa15-to-2,67,98
aa15-to-3,67,100
aa15-to-4,67,97
aa15-to-5,67,100
aa15-to-6,67,113
aa15-to-7,67,122
aa15-to-8,67,100
aa15-to-9,67,120
aa16-ba-0,14,24
aa16-ba-1,14,24
aa16-ba-10,14,24
aa16-ba-11,14,24
aa16-ba-12,14,24
aa16-ba-13,14,24
aa16-ba-14,14,24
aa16-ba-2,14,24
aa16-ba-3,14,24
aa16-ba-4,14,24
aa16-ba-5,14,24
aa16-ba-6,14,24
aa16-ba-7,14,24
aa16-ba-8,14,24
aa16-ba-9,14,24
aa16-cl-0,14,17
aa16-cl-1,14,5
aa16-cl-10,14,13
aa16-cl-11,14,9
aa16-cl-12,14,16
aa16-cl-13,14,11
aa16-cl-14,14,15
aa16-cl-2,14,9
aa16-cl-3,14,12
aa16-cl-4,14,13
aa16-cl-5,14,14
aa16-cl-6,14,18
aa16-cl-7,14,12
aa16-cl-8,14,7
aa16-cl-9,14,10
aa16-er-0,14,6
aa16-er-1,14,12
aa16-er-10,14,16
aa16-er-11,14,17
aa16-er-12,14,20
aa16-er-13,14,13
aa16-er-14,14,17
aa16-er-2,14,10
aa16-er-3,14,15
aa16-er-4,14,13
aa16-er-5,14,18
aa16-er-6,14,12
aa16-er-7,14,21
aa16-er-8,14,15
aa16-er-9,14,23
aa16-to-0,14,2
aa16-to-1,14,9
aa16-to-10,14,9
aa16-to-11,14,6
aa16-to-12,14,7
aa16-to-13,14,6
aa16-to-14,14,10
aa16-to-2,14,4
aa16-to-3,14,10
aa16-to-4,14,5
aa16-to-5,14,11
aa16-to-6,14,8
aa16-to-7,14,11
aa16-to-8,14,7
aa16-to-9,14,13
aa17-ba-0,153,740
aa17-ba-1,153,740
aa17-ba-10,153,740
aa17-ba-11,153,740
aa17-ba-12,153,740
aa17-ba-13,153,740
aa17-ba-14,153,740
aa17-ba-2,153,740
aa17-ba-3,153,740
aa17-ba-4,153,740
aa17-ba-5,153,740
aa17-ba-6,153,740
aa17-ba-7,153,740
aa17-ba-8,153,740
aa17-ba-9,153,740
aa17-cl-0,153,621
aa17-cl-1,153,655
aa17-cl-10,153,613
aa17-cl-11,153,623
aa17-cl-12,153,644
aa17-cl-13,153,610
aa17-cl-14,153,588
aa17-cl-2,153,641
aa17-cl-3,153,623
aa17-cl-4,153,666
aa17-cl-5,153,577
aa17-cl-6,153,601
aa17-cl-7,153,617
aa17-cl-8,153,619
aa17-cl-9,153,588
aa17-er-0,153,672
aa17-er-1,153,676
aa17-er-10,153,663
aa17-er-11,153,642
aa17-er-12,153,604
aa17-er-13,153,627
aa17-er-14,153,599
aa17-er-2,153,641
aa17-er-3,153,633
aa17-er-4,153,614
aa17-er-5,153,626
aa17-er-6,153,673
aa17-er-7,153,631
aa17-er-8,153,638
aa17-er-9,153,683
aa17-to-0,153,425
aa17-to-1,153,442
aa17-to-10,153,414
aa17-to-11,153,402
aa17-to-12,153,394
aa17-to-13,153,425
aa17-to-14,153,398
aa17-to-2,153,406
aa17-to-3,153,417
aa17-to-4,153,393
aa17-to-5,153,418
aa17-to-6,153,427
aa17-to-7,153,416
aa17-to-8,153,406
aa17-to-9,153,425
aa18-ba-0,90,425
aa18-ba-1,90,425
aa18-ba-10,90,425
aa18-ba-11,90,425
aa18-ba-12,90,425
aa18-ba-13,90,425
aa18-ba-14,90,425
aa18-ba-2,90,425
aa18-ba-3,90,425
aa18-ba-4,90,425
aa18-ba-5,90,425
aa18-ba-6,90,425
aa18-ba-7,90,425
aa18-ba-8,90,425
aa18-ba-9,90,425
aa18-cl-0,90,342
aa18-cl-1,90,361
aa18-cl-10,90,393
aa18-cl-11,90,366
aa18-cl-12,90,393
aa18-cl-13,90,364
aa18-cl-14,90,370
aa18-cl-2,90,390
aa18-cl-3,90,353
aa18-cl-4,90,371
aa18-cl-5,90,365
aa18-cl-6,90,357
aa18-cl-7,90,364
aa18-cl-8,90,369
aa18-cl-9,90,337
aa18-er-0,90,393
aa18-er-1,90,398
aa18-er-10,90,367
aa18-er-11,90,393
aa18-er-12,90,365
aa18-er-13,90,365
aa18-er-14,90,371
aa18-er-2,90,368
aa18-er-3,90,371
aa18-er-4,90,387
aa18-er-5,90,364
aa18-er-6,90,405
aa18-er-7,90,389
aa18-er-8,90,359
aa18-er-9,90,418
aa18-to-0,90,259
aa18-to-1,90,262
aa18-to-10,90,241
aa18-to-11,90,261
aa18-to-12,90,226
aa18-to-13,90,234
aa18-to-14,90,234
aa18-to-2,90,230
aa18-to-3,90,249
aa18-to-4,90,261
aa18-to-5,90,246
aa18-to-6,90,270
aa18-to-7,90,254
aa18-to-8,90,231
aa18-to-9,90,275
aa19-ba-0,192,752
aa19-ba-1,192,752
aa19-ba-10,192,752
aa19-ba-11,192,752
aa19-ba-12,192,752
aa19-ba-13,192,752
aa19-ba-14,192,752
aa19-ba-2,192,752
aa19-ba-3,192,752
aa19-ba-4,192,752
aa19-ba-5,192,752
aa19-ba-6,192,752
aa19-ba-7,192,752
aa19-ba-8,192,752
aa19-ba-9,192,752
aa19-cl-0,192,626
aa19-cl-1,192,667
aa19-cl-10,192,655
aa19-cl-11,192,655
aa19-cl-12,192,636
aa19-cl-13,192,657
aa19-cl-14,192,602
aa19-cl-2,192,647
aa19-cl-3,192,649
aa19-cl-4,192,658
aa19-cl-5,192,589
aa19-cl-6,192,599
aa19-cl-7,192,635
aa19-cl-8,192,647
aa19-cl-9,192,620
aa19-er-0,192,701
aa19-er-1,192,683
aa19-er-10,192,624
aa19-er-11,192,649
aa19-er-12,192,643
aa19-er-13,192,635
aa19-er-14,192,629
aa19-er-2,192,668
aa19-er-3,192,652
aa19-er-4,192,648
aa19-er-5,192,645
aa19-er-6,192,675
aa19-er-7,192,646
aa19-er-8,192,671
aa19-er-9,192,661
aa19-to-0,192,392
aa19-to-1,192,415
aa19-to-10,192,370
aa19-to-11,192,384
aa19-to-12,192,374
aa19-to-13,192,367
aa19-to-14,192,380
aa19-to-2,192,389
aa19-to-3,192,376
aa19-to-4,192,381
aa19-to-5,192,377
aa19-to-6,192,411
aa19-to-7,192,397
aa19-to-8,192,392
aa19-to-9,192,400
aa20-ba-0,225,884
aa20-ba-1,225,884
aa20-ba-10,225,884
aa20-ba-11,225,884
aa20-ba-12,225,884
aa20-ba-13,225,884
aa20-ba-14,225,884
aa20-ba-2,225,884
aa20-ba-3,225,884
aa20-ba-4,225,884
aa20-ba-5,225,884
aa20-ba-6,225,884
aa20-ba-7,225,884
aa20-ba-8,225,884
aa20-ba-9,225,884
aa20-cl-0,225,740
aa20-cl-1,225,776
aa20-cl-10,225,770
aa20-cl-11,225,775
aa20-cl-12,225,721
aa20-cl-13,225,784
aa20-cl-14,225,781
aa20-cl-2,225,757
aa20-cl-3,225,763
aa20-cl-4,225,778
aa20-cl-5,225,746
aa20-cl-6,225,722
aa20-cl-7,225,748
aa20-cl-8,225,733
aa20-cl-9,225,757
aa20-er-0,225,814
aa20-er-1,225,813
aa20-er-10,225,790
aa20-er-11,225,781
aa20-er-12,225,744
aa20-er-13,225,772
aa20-er-14,225,754
aa20-er-2,225,783
aa20-er-3,225,793
aa20-er-4,225,781
aa20-er-5,225,741
aa20-er-6,225,792
aa20-er-7,225,775
aa20-er-8,225,776
aa20-er-9,225,759
aa20-to-0,225,471
aa20-to-1,225,472
aa20-to-10,225,442
aa20-to-11,225,447
aa20-to-12,225,453
aa20-to-13,225,433
aa20-to-14,225,440
aa20-to-2,225,467
aa20-to-3,225,479
aa20-to-4,225,421
aa20-to-5,225,439
aa20-to-6,225,461
aa20-to-7,225,451
aa20-to-8,225,445
aa20-to-9,225,444
aa21-ba-0,31,84
aa21-ba-1,31,84
aa21-ba-10,31,84
aa21-ba-11,31,84
aa21-ba-12,31,84
aa21-ba-13,31,84
aa21-ba-14,31,84
aa21-ba-2,31,84
aa21-ba-3,31,84
aa21-ba-4,31,84
aa21-ba-5,31,84
aa21-ba-6,31,84
aa21-ba-7,31,84
aa21-ba-8,31,84
aa21-ba-9,31,84
aa21-cl-0,31,89
aa21-cl-1,31,87
aa21-cl-10,31,89
aa21-cl-11,31,71
aa21-cl-12,31,86
aa21-cl-13,31,79
