Dataset,vertices_removed,edges_removed,oct,bipartite
bqp100_1,0,0,0,0
bqp100_10,0,0,0,0
bqp100_2,0,0,0,0
bqp100_3,0,0,0,1
bqp100_4,0,0,0,0
bqp100_5,0,0,0,0
bqp100_6,0,0,0,0
bqp100_7,0,0,0,0
bqp100_8,0,0,0,0
bqp100_9,0,0,0,1
bqp250_1,0,0,0,0
bqp250_10,0,0,0,0
bqp250_2,0,0,0,0
bqp250_3,0,0,0,0
bqp250_4,0,0,0,0
bqp250_5,0,0,0,0
bqp250_6,0,0,0,0
bqp250_7,0,0,0,0
bqp250_8,0,0,0,0
bqp250_9,0,0,0,0
bqp500_1,0,0,0,0
bqp500_10,0,0,0,0
bqp500_2,0,0,0,0
bqp500_3,0,0,0,0
bqp500_4,0,0,0,0
bqp500_5,0,0,0,0
bqp500_6,0,0,0,0
bqp500_7,0,0,0,0
bqp500_8,0,0,0,0
bqp500_9,0,0,0,0
bqp50_1,0,0,0,5
bqp50_10,2,0,0,6
bqp50_2,3,0,0,4
bqp50_3,0,0,0,3
bqp50_4,4,0,0,8
bqp50_5,0,0,0,3
bqp50_6,7,0,0,5
bqp50_7,1,0,1,4
bqp50_8,0,0,0,4
bqp50_9,4,0,0,2
