Certificate,Dataset,Size,Solver,Time,Timeout
"['25', '18', '16', '19', '9', '1', '5', '26']",aa10,8,ILP,0.0,0.01
"[0,1,10,12,17,19,24]",aa10,7,HE,0.0,0.01
"['1', '14', '17', '19', '24', '30']",aa10,6,IC_1,0.0,0.01
"['18', '17', '19', '24', '14', '1']",aa10,6,ILP,0.0,0.1
"[0,1,14,17,19,24]",aa10,6,HE,0.0,0.1
"['1', '14', '17', '19', '24', '30']",aa10,6,IC_1,0.0,0.1
"['18', '17', '19', '24', '14', '1']",aa10,6,ILP,0.0,1.0
"[0,1,14,17,19,24]",aa10,6,HE,0.0,1.0
"['1', '14', '17', '19', '24', '30']",aa10,6,IC_2,0.3,1.0
"['18', '17', '19', '24', '14', '1']",aa10,6,ILP,0.0,10.0
"[0,1,14,17,19,24]",aa10,6,HE,0.0,10.0
"['1', '14', '17', '19', '24', '30']",aa10,6,IC_2,1.0,10.0
"['28', '17', '21', '29', '2', '15', '1', '27', '24', '7', '14', '22', '8', '6', '12']",aa11,15,ILP,0.0,0.01
"[1,5,6,7,17,18,19,20,21,22,23,29]",aa11,12,HE,0.0,0.01
"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']",aa11,11,IC_1,0.0,0.01
"['17', '18', '21', '29', '2', '15', '1', '3', '24', '19', '7', '13', '6']",aa11,13,ILP,0.1,0.1
"[1,5,6,7,17,18,19,20,21,22,23,29]",aa11,12,HE,0.0,0.1
"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']",aa11,11,IC_1,0.0,0.1
"['11', '17', '18', '21', '29', '15', '1', '74', '19', '7', '6']",aa11,11,ILP,0.1,1.0
"[1,2,6,7,14,15,17,21,24,27,29]",aa11,11,HE,1.0,1.0
"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']",aa11,11,IC_2,0.3,1.0
"['11', '17', '18', '21', '29', '15', '1', '74', '19', '7', '6']",aa11,11,ILP,0.1,10.0
"[1,2,6,7,14,15,17,21,24,27,29]",aa11,11,HE,1.0,10.0
"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']",aa11,11,IC_2,1.0,10.0
"['31', '28', '38', '18', '21', '35', '15', '27', '4', '41', '33', '0', '7', '32', '24', '39', '26', '34', '22', '8', '42', '12']",aa13,22,ILP,0.0,0.01
"[0,3,4,5,8,21,23,24,26,27,28,32,35,36,41]",aa13,15,HE,0.0,0.01
"['15', '20', '22', '24', '26', '28', '31', '35', '36', '4', '41', '42']",aa13,12,IC_1,0.0,0.01
"['28', '37', '21', '35', '15', '4', '0', '32', '24', '26', '22', '42']",aa13,12,ILP,0.1,0.1
"[0,3,4,5,8,21,23,24,26,27,28,32,35,36,41]",aa13,15,HE,0.0,0.1
"['0', '15', '21', '22', '24', '26', '28', '32', '35', '4', '41', '42']",aa13,12,IC_1,0.0,0.1
"['28', '37', '21', '35', '15', '4', '0', '32', '24', '26', '22', '42']",aa13,12,ILP,0.1,1.0
"[0,3,4,21,22,23,24,26,28,32,35,36,40,41]",aa13,14,HE,0.4,1.0
"['15', '20', '22', '24', '26', '28', '30', '35', '36', '4', '41', '42']",aa13,12,IC_2,0.3,1.0
"['28', '37', '21', '35', '15', '4', '0', '32', '24', '26', '22', '42']",aa13,12,ILP,0.1,10.0
"[4,15,17,20,22,24,26,28,31,35,36,41,42]",aa13,13,HE,5.8,10.0
"['15', '20', '22', '24', '26', '28', '30', '35', '36', '4', '41', '42']",aa13,12,IC_2,1.0,10.0
"['11', '31', '28', '37', '17', '18', '21', '9', '29', '2', '15', '1', '71', '10', '5', '27', '72', '25', '41', '43', '44', '33', '16', '19', '7', '32', '40', '30', '39', '26', '22', '8', '6', '36', '23']",aa14,35,ILP,0.0,0.01
"[5,6,7,8,10,13,14,15,16,22,27,29,32,33,35,36,37,38,40,41,43]",aa14,21,HE,0.0,0.01
"['10', '15', '16', '2', '24', '33', '35', '36', '5', '6', '7', '8', '12', '26', '38', '27', '29', '41', '13']",aa14,19,IC_1,0.01,0.01
"['11', '28', '37', '38', '17', '18', '21', '9', '35', '15', '3', '5', '20', '27', '25', '4', '43', '44', '16', '19', '32', '40', '26', '13', '6', '36', '23']",aa14,27,ILP,0.1,0.1
"[5,6,7,8,10,13,14,15,16,22,26,27,29,33,35,36,37,38,41]",aa14,19,HE,0.1,0.1
"['10', '13', '14', '15', '16', '22', '26', '35', '36', '38', '39', '6', '7', '8', '27', '41', '29', '33', '5']",aa14,19,IC_1,0.1,0.1
"['38', '35', '29', '2', '15', '10', '5', '27', '41', '33', '16', '7', '24', '26', '13', '8', '6', '36', '12']",aa14,19,ILP,0.2,1.0
"[5,6,7,8,10,13,14,15,16,22,26,27,29,33,35,36,37,38,41]",aa14,19,HE,0.1,1.0
"['10', '13', '14', '15', '16', '22', '26', '27', '29', '33', '35', '36', '38', '41', '5', '6', '7', '8', '39']",aa14,19,IC_2,1.0,1.0
"['38', '35', '29', '2', '15', '10', '5', '27', '41', '33', '16', '7', '24', '26', '13', '8', '6', '36', '12']",aa14,19,ILP,0.2,10.0
"[5,6,7,8,10,13,14,15,16,22,26,27,29,33,35,36,37,38,41]",aa14,19,HE,0.1,10.0
"['10', '13', '14', '15', '16', '22', '26', '27', '29', '33', '35', '36', '38', '39', '41', '5', '6', '7', '8']",aa14,19,IC_2,4.6,10.0
"['2', '4', '41', '28', '17', '19', '9', '29', '26', '1', '10', '8']",aa15,12,ILP,0.0,0.01
"[1,2,4,8,10,14,23,26]",aa15,8,HE,0.0,0.01
"['10', '17', '28', '3', '8', '9']",aa15,6,IC_1,0.0,0.01
"['4', '28', '9', '3', '10', '8']",aa15,6,ILP,0.0,0.1
"[3,4,8,9,10,28]",aa15,6,HE,0.1,0.1
"['10', '28', '3', '4', '8', '9']",aa15,6,IC_1,0.0,0.1
"['4', '28', '9', '3', '10', '8']",aa15,6,ILP,0.0,1.0
"[3,4,8,9,10,28]",aa15,6,HE,0.1,1.0
"['10', '28', '3', '4', '8', '9']",aa15,6,IC_2,0.3,1.0
"['4', '28', '9', '3', '10', '8']",aa15,6,ILP,0.0,10.0
"[3,4,8,9,10,28]",aa15,6,HE,0.1,10.0
"['10', '28', '3', '4', '8', '9']",aa15,6,IC_2,1.0,10.0
[],aa16,0,ILP,0.0,0.01
[],aa16,0,HE,0.0,0.01
[],aa16,0,IC_1,0.0,0.01
[],aa16,0,ILP,0.0,0.1
[],aa16,0,HE,0.0,0.1
[],aa16,0,IC_1,0.0,0.1
[],aa16,0,ILP,0.0,1.0
[],aa16,0,HE,0.0,1.0
[],aa16,0,IC_2,0.3,1.0
[],aa16,0,ILP,0.0,10.0
[],aa16,0,HE,0.0,10.0
[],aa16,0,IC_2,1.0,10.0
