Dataset,Solver,Time,Size,Certificate
aa10,akiba_iwata,0.2,6,"[0, 1, 14, 17, 19, 24]"
aa10,ilp,0.0,6,"['17', '14', '18', '24', '1', '19']"
aa11,akiba_iwata,0.1,11,"[0, 1, 7, 11, 15, 17, 18, 19, 21, 24, 29]"
aa11,ilp,0.1,11,"['17', '15', '7', '11', '24', '21', '19', '1', '18', '29', '0']"
aa13,akiba_iwata,0.1,12,"[0, 4, 15, 21, 22, 24, 26, 28, 31, 35, 41, 42]"
aa13,ilp,0.1,12,"['15', '105', '4', '22', '28', '21', '26', '0', '35', '42', '24', '41']"
aa14,akiba_iwata,0.2,19,"[2, 5, 6, 7, 8, 10, 12, 13, 15, 16, 24, 26, 27, 29, 33, 35, 36, 38, 41]"
aa14,ilp,0.1,19,"['36', '15', '7', '10', '29', '13', '33', '24', '27', '26', '6', '38', '35', '8', '16', '5', '2', '41', '12']"
aa15,akiba_iwata,0.1,6,"[3, 4, 8, 9, 10, 28]"
aa15,ilp,0.0,6,"['10', '28', '3', '4', '8', '9']"
aa16,akiba_iwata,0.1,0,[]
aa16,ilp,0.0,0,[]
aa17,akiba_iwata,0.4,25,"[6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 20, 21, 23, 24, 27, 31, 32, 35, 37, 38, 39, 40, 42, 48]"
aa17,ilp,0.1,25,"['7', '10', '48', '13', '33', '11', '32', '26', '8', '52', '30', '19', '6', '38', '2', '27', '18', '23', '37', '24', '29', '16', '40', '20', '15']"
aa18,akiba_iwata,0.1,14,"[1, 2, 8, 11, 14, 21, 24, 29, 32, 35, 41, 44, 45, 46]"
aa18,ilp,0.0,14,"['14', '4', '2', '35', '61', '5', '8', '24', '44', '45', '32', '21', '41', '29']"
aa19,akiba_iwata,0.2,19,"[4, 5, 9, 10, 20, 21, 22, 24, 25, 27, 32, 35, 36, 37, 38, 41, 47, 56, 60]"
aa19,ilp,0.2,19,"['10', '20', '4', '21', '56', '47', '41', '32', '9', '24', '36', '22', '0', '27', '25', '38', '35', '37', '5']"
aa20,akiba_iwata,0.3,19,"[5, 9, 14, 16, 25, 26, 28, 30, 36, 39, 41, 43, 44, 45, 47, 50, 52, 53, 55]"
aa20,ilp,0.1,19,"['44', '43', '45', '53', '26', '52', '14', '41', '30', '9', '36', '28', '55', '25', '16', '47', '50', '5', '39']"
aa21,akiba_iwata,0.1,0,[]
aa21,ilp,0.0,0,[]
aa22,akiba_iwata,0.2,16,"[0, 1, 6, 11, 14, 21, 22, 23, 27, 28, 31, 32, 36, 41, 46, 47]"
aa22,ilp,0.1,16,"['46', '36', '22', '28', '11', '45', '21', '32', '1', '14', '6', '27', '47', '23', '31', '41']"
aa23,akiba_iwata,0.2,18,"[5, 6, 7, 9, 13, 16, 18, 21, 23, 29, 31, 33, 38, 40, 41, 42, 44, 51]"
aa23,ilp,0.1,18,"['7', '29', '13', '33', '21', '8', '9', '51', '6', '38', '18', '42', '23', '24', '31', '44', '16', '40']"
aa24,akiba_iwata,0.3,21,"[1, 2, 3, 12, 13, 20, 29, 30, 31, 32, 33, 35, 36, 37, 49, 55, 61, 63, 69, 70, 76]"
aa24,ilp,0.1,21,"['36', '69', '49', '13', '20', '1', '32', '63', '76', '30', '2', '29', '33', '12', '55', '35', '61', '3', '37', '31', '70']"
aa25,akiba_iwata,0.1,0,[]
aa25,ilp,0.0,0,[]
aa26,akiba_iwata,0.1,12,"[1, 5, 19, 22, 25, 29, 30, 31, 33, 35, 37, 38]"
aa26,ilp,0.0,12,"['22', '37', '25', '30', '5', '33', '38', '19', '29', '31', '1', '0']"
aa27,akiba_iwata,0.2,11,"[0, 6, 9, 11, 17, 20, 23, 27, 30, 31, 40]"
aa27,ilp,0.1,11,"['17', '44', '27', '9', '30', '6', '23', '31', '40', '20', '0']"
aa28,akiba_iwata,0.2,27,"[2, 6, 9, 11, 13, 14, 15, 17, 18, 24, 25, 28, 30, 31, 32, 36, 37, 40, 45, 46, 51, 54, 56, 58, 59, 60, 64]"
aa28,ilp,0.1,27,"['46', '36', '17', '64', '28', '13', '11', '45', '54', '59', '32', '1', '58', '56', '9', '30', '51', '14', '60', '25', '2', '18', '37', '31', '40', '24', '15']"
aa29,akiba_iwata,0.3,21,"[6, 7, 10, 14, 15, 17, 20, 21, 25, 29, 33, 36, 38, 40, 42, 45, 54, 55, 58, 66, 68]"
aa29,ilp,0.1,21,"['7', '36', '10', '13', '45', '21', '42', '68', '66', '14', '6', '40', '17', '29', '33', '15', '25', '38', '54', '58', '20']"
aa30,akiba_iwata,0.1,4,"[4, 7, 9, 11]"
aa30,ilp,0.0,4,"['7', '11', '4', '2']"
aa31,akiba_iwata,0.1,0,[]
aa31,ilp,0.0,0,[]
aa32,akiba_iwata,0.6,30,"[1, 4, 6, 9, 11, 18, 21, 22, 23, 32, 33, 34, 36, 38, 41, 42, 43, 44, 45, 47, 48, 49, 51, 52, 55, 56, 57, 59, 60, 65]"
aa32,ilp,0.5,30,"['36', '7', '60', '4', '49', '73', '33', '11', '20', '45', '27', '57', '21', '59', '56', '55', '9', '1', '52', '0', '30', '14', '19', '25', '35', '23', '24', '16', '32', '39']"
aa33,akiba_iwata,0.1,4,"[24, 32, 33, 35]"
aa33,ilp,0.0,4,"['32', '24', '33', '35']"
aa34,akiba_iwata,0.2,13,"[3, 5, 11, 13, 14, 16, 19, 20, 21, 31, 35, 36, 37]"
aa34,ilp,0.1,13,"['36', '28', '13', '11', '20', '21', '3', '14', '19', '35', '31', '16', '5']"
aa35,akiba_iwata,0.1,10,"[0, 3, 13, 14, 20, 21, 24, 30, 32, 37]"
aa35,ilp,0.0,10,"['14', '3', '37', '30', '13', '24', '11', '32', '20', '21']"
aa36,akiba_iwata,0.1,7,"[8, 10, 17, 18, 29, 31, 32]"
aa36,ilp,0.0,7,"['17', '10', '18', '8', '29', '32', '0']"
aa37,akiba_iwata,0.1,4,"[1, 5, 18, 28]"
aa37,ilp,0.0,4,"['28', '18', '5', '1']"
