Dataset,Timeout,Size,Time,Certificate
aa10.edgelist,10,7,0,"[0,1,10,12,17,19,24]"
aa11.edgelist,10,12,1,"[1,5,6,7,17,18,19,20,21,22,23,29]"
aa13.edgelist,10,15,6,"[0,3,4,5,8,21,23,24,26,27,28,32,35,36,41]"
aa14.edgelist,10,21,1,"[5,6,7,8,10,13,14,15,16,22,27,29,32,33,35,36,37,38,40,41,43]"
aa15.edgelist,10,8,0,"[1,2,4,8,10,14,23,26]"
aa16.edgelist,10,0,0,[]
aa17.edgelist,10,28,5,"[6,7,8,9,11,12,13,16,17,18,20,21,23,24,27,29,30,31,32,33,38,41,46,47,48,52,53,54]"
aa18.edgelist,10,18,0,"[2,3,5,8,10,11,14,17,20,21,29,32,35,41,42,44,45,46]"
aa19.edgelist,10,22,2,"[1,4,9,10,20,23,24,25,26,27,31,32,35,36,37,38,41,47,49,53,56,60]"
aa20.edgelist,10,23,1,"[5,9,11,12,14,26,28,30,31,33,34,35,36,37,39,41,43,44,45,47,50,52,55]"
aa21.edgelist,10,0,0,[]
aa22.edgelist,10,17,5,"[0,1,2,7,11,13,14,21,22,23,27,28,31,32,36,46,119]"
aa23.edgelist,10,21,0,"[5,6,7,9,13,17,18,23,28,29,30,31,33,36,38,39,40,41,42,44,51]"
aa24.edgelist,10,25,8,"[2,3,9,12,13,16,20,21,29,30,34,35,36,37,49,53,54,55,58,61,63,64,69,70,72]"
aa25.edgelist,10,0,0,[]
aa26.edgelist,10,13,5,"[0,1,5,19,21,22,25,29,30,31,32,33,38]"
aa27.edgelist,10,14,2,"[0,3,6,9,11,15,16,17,20,23,30,34,40,76]"
aa28.edgelist,10,33,6,"[2,3,6,9,11,13,14,15,17,18,23,24,25,28,30,31,32,36,37,39,43,44,48,49,51,52,53,54,56,58,59,60,130]"
aa29.edgelist,10,26,6,"[4,6,7,10,14,15,17,20,21,25,28,29,33,36,38,40,42,45,54,55,58,61,62,65,66,68]"
aa30.edgelist,10,4,5,"[4,7,9,11]"
aa31.edgelist,10,0,0,[]
aa32.edgelist,10,39,4,"[2,3,4,5,6,9,11,15,18,21,22,24,25,26,32,33,36,38,39,40,43,44,45,46,47,48,49,51,52,53,55,56,57,59,60,62,63,64,65]"
aa33.edgelist,10,4,0,"[24,32,33,35]"
aa34.edgelist,10,16,8,"[2,4,6,8,9,10,11,15,16,19,20,25,28,31,35,36]"
aa35.edgelist,10,10,4,"[3,11,13,14,16,20,21,30,32,37]"
aa36.edgelist,10,7,2,"[8,10,17,18,29,31,32]"
aa37.edgelist,10,5,0,"[1,7,17,20,28]"
aa38.edgelist,10,33,9,"[3,5,6,7,16,17,18,21,22,25,26,27,29,33,35,38,39,41,42,45,48,49,50,51,52,56,58,60,62,63,64,65,66]"
