Dataset,vertices_removed,edges_removed,oct,bipartite
aa10,10,0,0,30
aa11,10,0,0,62
aa13,10,0,0,79
aa14,16,0,0,66
aa15,15,0,1,21
aa16,14,0,0,0
aa17,7,0,0,91
aa18,11,0,0,33
aa19,11,0,0,120
aa20,7,0,0,161
aa21,22,0,9,0
aa22,5,0,0,115
aa23,21,0,0,69
aa24,12,0,0,169
aa25,14,0,1,0
aa26,21,0,1,33
aa27,12,0,0,61
aa28,13,0,0,89
aa29,12,0,0,197
aa30,9,0,0,12
aa31,28,0,2,0
aa32,25,0,0,61
aa33,12,0,0,143
aa34,12,0,0,85
aa35,6,0,0,38
aa36,9,0,0,68
aa37,24,0,1,22
aa38,10,0,0,94
aa39,4,0,0,82
aa40,20,0,0,60
aa41,39,0,0,172
aa42,11,0,0,137
aa43,6,0,0,18
aa44,7,0,0,23
aa45,8,0,0,32
aa46,17,0,0,89
aa47,17,0,1,13
aa48,14,0,0,35
aa49,22,0,5,0
aa50,5,0,0,48
aa51,8,0,0,27
aa52,20,0,2,14
aa53,9,0,0,37
aa54,13,0,0,31
j10,20,0,0,13
j11,14,0,0,8
j13,22,0,2,28
j14,52,0,1,3
j15,44,0,1,0
j16,14,0,0,0
j17,20,0,0,20
j18,15,0,0,11
j19,63,0,0,20
j20,240,0,1,0
j21,18,0,7,1
j22,9,0,0,23
j23,25,0,0,1
j24,83,0,1,20
j25,14,0,0,0
j26,29,0,0,10
j28,22,0,0,17
