Dataset,Solver,Timeout,HTime,Time,Size,Certificate
aa10,huffner,0.01,0.001,0.0,6,"['0', '1', '14', '17', '19', '24']"
aa11,huffner,0.01,0.001,0.0,11,"['1', '11', '15', '17', '18', '19', '21', '23', '29', '6', '7']"
aa13,huffner,0.01,0.001,0.0,12,"['0', '21', '22', '24', '26', '28', '35', '36', '4', '40', '41', '42']"
aa14,huffner,0.01,0.001,0.01,19,"['15', '16', '22', '26', '27', '33', '36', '38', '5', '6', '7', '8', '41', '29', '35', '10', '13', '39', '14']"
aa15,huffner,0.01,0.001,0.0,6,"['10', '17', '28', '3', '8', '9']"
aa16,huffner,0.01,0.001,0.0,0,[]
aa17,huffner,0.01,0.001,0.01,28,"['1', '11', '12', '14', '19', '2', '22', '41', '43', '48', '49', '54', '6', '8', '9', '50', '26', '25', '7', '38', '46', '28', '47', '17', '52', '20', '5', '36']"
aa18,huffner,0.01,0.001,0.0,14,"['14', '2', '21', '24', '29', '3', '32', '33', '35', '41', '44', '45', '5', '8']"
aa19,huffner,0.01,0.001,0.01,23,"['10', '20', '21', '23', '27', '31', '35', '36', '37', '38', '4', '41', '56', '24', '39', '47', '60', '26', '49', '9', '25', '52', '32']"
aa20,huffner,0.01,0.001,0.01,25,"['21', '25', '29', '33', '34', '36', '39', '40', '41', '43', '50', '52', '53', '47', '31', '26', '35', '28', '44', '37', '8', '11', '48', '45', '32']"
aa21,huffner,0.01,0.001,0.0,0,[]
aa22,huffner,0.01,0.001,0.01,18,"['1', '11', '14', '21', '22', '23', '27', '28', '31', '32', '36', '46', '6', '7', '37', '12', '45', '41']"
aa23,huffner,0.01,0.001,0.01,21,"['11', '13', '16', '18', '21', '23', '24', '29', '32', '33', '38', '40', '42', '44', '51', '6', '7', '9', '26', '37', '64']"
aa24,huffner,0.01,0.001,0.01,32,"['12', '13', '20', '30', '35', '37', '49', '69', '70', '56', '31', '32', '33', '36', '61', '2', '29', '52', '71', '58', '34', '9', '53', '21', '3', '54', '77', '55', '1', '10', '65', '60']"
aa25,huffner,0.01,0.001,0.0,0,[]
aa26,huffner,0.01,0.001,0.0,12,"['0', '1', '19', '22', '25', '29', '30', '31', '33', '37', '38', '5']"
aa27,huffner,0.01,0.001,0.0,11,"['0', '17', '18', '20', '23', '27', '28', '30', '31', '40', '9']"
aa28,huffner,0.01,0.001,0.01,30,"['11', '13', '14', '15', '17', '18', '2', '24', '28', '30', '31', '32', '36', '37', '45', '47', '51', '56', '58', '59', '60', '64', '9', '25', '23', '40', '41', '46', '38', '6']"
aa29,huffner,0.01,0.001,0.01,29,"['10', '14', '17', '20', '21', '25', '33', '36', '38', '43', '55', '58', '6', '66', '61', '50', '29', '54', '7', '68', '45', '46', '16', '15', '67', '56', '53', '40', '64']"
aa30,huffner,0.01,0.001,0.0,4,"['11', '2', '4', '7']"
aa31,huffner,0.01,0.001,0.0,0,[]
