Dataset,Solver,Timeout,Time,Size,Certificate
aa10,huffner,0.01,0.0,6,"['1', '14', '17', '19', '24', '30']"
aa10,huffner,0.1,0.0,6,"['1', '14', '17', '19', '24', '30']"
aa10,huffner,1,0.3,6,"['1', '14', '17', '19', '24', '30']"
aa10,huffner,10,1.0,6,"['1', '14', '17', '19', '24', '30']"
aa11,huffner,0.01,0.0,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa11,huffner,0.1,0.0,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa11,huffner,1,0.3,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa11,huffner,10,1.0,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa13,huffner,0.01,0.0,12,"['15', '20', '22', '24', '26', '28', '31', '35', '36', '4', '41', '42']"
aa13,huffner,0.1,0.0,12,"['0', '15', '21', '22', '24', '26', '28', '32', '35', '4', '41', '42']"
aa13,huffner,1,0.3,12,"['15', '20', '22', '24', '26', '28', '30', '35', '36', '4', '41', '42']"
aa13,huffner,10,1.0,12,"['15', '20', '22', '24', '26', '28', '30', '35', '36', '4', '41', '42']"
aa14,huffner,0.01,0.01,19,"['10', '15', '16', '2', '24', '33', '35', '36', '5', '6', '7', '8', '12', '26', '38', '27', '29', '41', '13']"
aa14,huffner,0.1,0.1,19,"['10', '13', '14', '15', '16', '22', '26', '35', '36', '38', '39', '6', '7', '8', '27', '41', '29', '33', '5']"
aa14,huffner,1,1,19,"['10', '13', '14', '15', '16', '22', '26', '27', '29', '33', '35', '36', '38', '39', '41', '6', '7', '8', '5']"
aa14,huffner,10,4.1,19,"['10', '13', '14', '15', '16', '22', '26', '27', '29', '33', '35', '36', '38', '39', '41', '5', '6', '7', '8']"
aa15,huffner,0.01,0.0,6,"['10', '17', '28', '3', '8', '9']"
aa15,huffner,0.1,0.0,6,"['10', '28', '3', '4', '8', '9']"
aa15,huffner,1,0.3,6,"['10', '28', '3', '4', '8', '9']"
aa15,huffner,10,1.0,6,"['10', '28', '3', '4', '8', '9']"
aa16,huffner,0.01,0.0,0,[]
aa16,huffner,0.1,0.0,0,[]
aa16,huffner,1,0.3,0,[]
aa16,huffner,10,1.0,0,[]
aa17,huffner,0.01,0.01,28,"['11', '14', '16', '19', '24', '29', '30', '36', '38', '39', '41', '48', '7', '6', '5', '21', '22', '8', '15', '2', '35', '54', '53', '20', '32', '50', '18', '33']"
aa17,huffner,0.1,0.1,27,"['11', '14', '15', '16', '19', '21', '24', '29', '30', '36', '38', '39', '41', '48', '5', '6', '7', '8', '2', '35', '54', '53', '20', '32', '50', '18', '33']"
aa17,huffner,1,1,25,"['10', '11', '13', '14', '15', '16', '19', '2', '20', '21', '23', '24', '27', '32', '38', '39', '41', '48', '50', '53', '6', '7', '8', '54', '18']"
aa17,huffner,10,3.0,25,"['10', '11', '13', '14', '15', '16', '18', '19', '2', '20', '21', '23', '24', '27', '32', '38', '39', '41', '48', '50', '53', '54', '6', '7', '8']"
aa18,huffner,0.01,0.0,14,"['14', '2', '21', '24', '29', '3', '32', '33', '35', '41', '44', '45', '5', '8']"
aa18,huffner,0.1,0.0,14,"['1', '14', '2', '21', '24', '29', '32', '33', '35', '41', '44', '45', '46', '8']"
aa18,huffner,1,0.3,14,"['1', '14', '2', '21', '24', '29', '32', '33', '35', '41', '44', '45', '46', '8']"
aa18,huffner,10,1.0,14,"['1', '14', '2', '21', '24', '29', '32', '33', '35', '41', '44', '45', '46', '8']"
aa19,huffner,0.01,0.01,22,"['10', '23', '24', '25', '35', '36', '37', '38', '49', '56', '60', '47', '20', '27', '9', '31', '32', '4', '21', '26', '41', '39']"
aa19,huffner,0.1,0.1,21,"['10', '23', '24', '25', '35', '36', '37', '38', '47', '49', '56', '60', '9', '20', '27', '4', '31', '32', '41', '21', '26']"
aa19,huffner,1,0.8,19,"['10', '20', '21', '22', '24', '27', '32', '35', '36', '37', '38', '39', '4', '43', '47', '49', '5', '56', '60']"
aa19,huffner,10,1.5,19,"['10', '20', '21', '22', '24', '27', '32', '35', '36', '37', '38', '39', '4', '43', '47', '49', '5', '56', '60']"
aa20,huffner,0.01,0.01,24,"['11', '16', '25', '36', '39', '44', '45', '47', '48', '5', '14', '9', '52', '32', '34', '41', '21', '29', '43', '8', '55', '31', '40', '53']"
