Dataset,Preprocessing,Time,Size,Certificate
aa29,0,0.1,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,1,0.3,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,2,0.3,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,0,0.1,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,1,0.3,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,2,0.3,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,0,0.2,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '55', '58', '6', '66', '68', '7']"
aa29,1,0.4,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,2,0.4,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,0,0.1,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,1,0.4,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '55', '58', '6', '66', '68', '7']"
aa29,2,0.3,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '55', '58', '6', '66', '68', '7']"
aa29,0,0.1,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '58', '6', '66', '68', '7']"
aa29,1,0.4,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,2,0.4,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,0,0.1,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,1,0.4,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,2,0.4,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,0,0.1,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '55', '58', '6', '66', '68', '7']"
aa29,1,0.4,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,2,0.4,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,0,0.1,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,1,0.4,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,2,0.4,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,0,0.2,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa29,1,0.3,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '55', '58', '6', '66', '68', '7']"
aa29,2,0.3,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '55', '58', '6', '66', '68', '7']"
aa29,0,0.1,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '55', '58', '6', '66', '68', '7']"
aa29,1,0.4,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,2,0.4,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '42', '45', '5', '54', '55', '58', '6', '66', '68', '7']"
aa32,0,10.0,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '26', '27', '30', '32', '33', '35', '36', '39', '4', '45', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,1,11.6,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '26', '27', '30', '32', '33', '35', '36', '39', '4', '45', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,2,7.8,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,0,12.1,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '60', '73', '9']"
aa32,1,30.2,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '9']"
aa32,2,7.9,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,0,8.4,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '54', '55', '56', '57', '59', '60', '9']"
aa32,1,11.1,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '26', '27', '30', '32', '33', '35', '36', '39', '4', '45', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,2,7.9,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,0,11.3,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '60', '73', '9']"
