Dataset,Timeout,C - Size,HE - Size,C - Time,HE - Time
aa10,0.01,8,7,0.0,0.0
aa10,0.1,6,7,0.0,0.0
aa10,1.0,6,6,0.0,0.9
aa10,10.0,6,6,0.0,0.9
aa11,0.01,15,12,0.0,0.0
aa11,0.1,13,12,0.1,0.0
aa11,1.0,11,11,0.1,1.0
aa11,10.0,11,11,0.1,0.9
aa13,0.01,22,15,0.0,0.0
aa13,0.1,12,14,0.1,0.0
aa13,1.0,12,14,0.1,0.0
aa13,10.0,12,13,0.1,5.8
aa14,0.01,35,21,0.0,0.0
aa14,0.1,27,19,0.1,0.0
aa14,1.0,19,19,0.2,0.0
aa14,10.0,19,19,0.2,0.0
aa15,0.01,12,8,0.0,0.0
aa15,0.1,6,7,0.0,0.1
aa15,1.0,6,6,0.0,0.1
aa15,10.0,6,6,0.0,0.1
aa16,0.01,0,0,0.0,0.0
aa16,0.1,0,0,0.0,0.0
aa16,1.0,0,0,0.0,0.0
aa16,10.0,0,0,0.0,0.0
aa17,0.01,41,28,0.0,0.0
aa17,0.1,34,28,0.1,0.0
aa17,1.0,25,26,0.3,0.9
aa17,10.0,25,26,0.3,0.9
aa18,0.01,21,18,0.0,0.0
aa18,0.1,14,17,0.1,0.0
aa18,1.0,14,14,0.1,1.0
aa18,10.0,14,14,0.1,1.0
aa19,0.01,38,22,0.0,0.0
aa19,0.1,20,21,0.1,0.1
aa19,1.0,19,21,0.1,0.1
aa19,10.0,19,21,0.1,0.1
aa20,0.01,129,23,0.0,0.0
aa20,0.1,25,22,0.1,0.1
aa20,1.0,19,22,0.1,0.1
aa20,10.0,19,22,0.1,0.1
aa21,0.01,0,0,0.0,0.0
aa21,0.1,0,0,0.0,0.0
aa21,1.0,0,0,0.0,0.0
aa21,10.0,0,0,0.0,0.0
aa22,0.01,37,19,0.0,0.0
aa22,0.1,16,18,0.1,0.0
aa22,1.0,16,18,0.1,0.0
aa22,10.0,16,18,0.1,0.0
aa23,0.01,35,19,0.0,0.0
aa23,0.1,19,19,0.1,0.0
aa23,1.0,18,19,0.1,0.0
aa23,10.0,18,19,0.1,0.0
aa24,0.01,150,33,0.0,0.0
aa24,0.1,46,30,0.1,0.0
aa24,1.0,21,27,0.1,0.3
aa24,10.0,21,27,0.1,0.3
aa25,0.01,0,0,0.0,0.0
aa25,0.1,0,0,0.0,0.0
aa25,1.0,0,0,0.0,0.0
aa25,10.0,0,0,0.0,0.0
aa26,0.01,14,12,0.0,0.0
aa26,0.1,12,12,0.0,0.0
aa26,1.0,12,12,0.0,0.0
aa26,10.0,12,12,0.0,0.0
aa27,0.01,13,15,0.0,0.0
aa27,0.1,11,14,0.1,0.0
aa27,1.0,11,13,0.1,0.5
aa27,10.0,11,12,0.1,4.7
aa28,0.01,106,34,0.0,0.0
aa28,0.1,32,31,0.1,0.0
aa28,1.0,27,30,0.3,0.1
aa28,10.0,27,30,0.3,0.1
aa29,0.01,169,26,0.0,0.0
aa29,0.1,23,22,0.1,0.0
aa29,1.0,21,22,0.1,0.0
aa29,10.0,21,22,0.1,0.0
aa30,0.01,4,4,0.0,0.0
aa30,0.1,4,4,0.0,0.0
aa30,1.0,4,4,0.0,0.0
aa30,10.0,4,4,0.0,0.0
aa31,0.01,0,0,0.0,0.0
aa31,0.1,0,0,0.0,0.0
aa31,1.0,0,0,0.0,0.0
aa31,10.0,0,0,0.0,0.0
aa32,0.01,47,39,0.0,0.0
aa32,0.1,37,36,0.1,0.1
aa32,1.0,30,35,0.5,0.3
aa32,10.0,30,33,0.4,1.1
aa33,0.01,31,4,0.0,0.0
aa33,0.1,4,4,0.0,0.0
aa33,1.0,4,4,0.0,0.0
aa33,10.0,4,4,0.0,0.0
aa34,0.01,27,16,0.0,0.0
aa34,0.1,13,13,0.1,0.0
aa34,1.0,13,13,0.1,0.0
aa34,10.0,13,13,0.1,0.0
aa35,0.01,10,10,0.0,0.0
aa35,0.1,10,10,0.0,0.0
