Dataset,original_vertices,original_edges,vertices_removed,edges_removed,oct,bipartite,final_vertices,final_edges
aa10,69,191,10,0,0,30,59,181
aa11,103,307,10,0,0,62,93,298
aa13,131,383,10,0,0,79,121,375
aa14,127,525,16,0,0,66,111,512
aa15,67,179,15,0,1,21,51,146
aa16,14,15,14,0,0,0,0,0
aa17,153,633,7,0,0,91,146,628
aa18,90,381,11,0,0,33,79,373
aa19,192,645,11,0,0,120,181,636
aa20,225,766,7,0,0,161,218,760
aa21,31,90,22,0,9,0,0,0
aa22,167,641,5,0,0,115,162,636
aa23,143,508,21,0,0,69,122,492
aa24,261,1108,12,0,0,169,249,1099
aa25,15,15,14,0,1,0,0,0
aa26,95,284,16,0,1,38,78,266
aa27,120,331,12,0,0,61,108,322
aa28,167,854,13,0,0,89,154,841
aa29,277,1058,12,0,0,197,265,1048
aa30,39,71,11,0,1,10,27,51
aa31,30,51,28,0,2,0,0,0
aa32,151,750,26,0,1,60,124,719
aa33,194,493,12,0,0,143,182,481
aa34,134,451,12,0,0,85,122,440
aa35,82,269,6,0,0,38,76,264
aa36,112,316,9,0,0,68,103,309
aa37,73,170,39,0,3,16,31,69
aa38,171,862,10,0,0,94,161,852
aa39,145,692,4,0,0,82,141,689
aa40,140,620,20,0,0,60,120,604
aa41,300,1620,39,0,0,172,261,1585
aa42,237,1110,11,0,0,137,226,1100
aa43,64,308,6,0,0,18,58,303
aa44,60,163,7,0,0,23,53,157
aa45,83,386,8,0,0,32,75,381
aa46,163,529,17,0,0,89,146,514
aa47,65,229,17,0,1,13,47,195
aa48,90,343,14,0,0,35,76,330
aa49,27,62,22,0,5,0,0,0
aa50,113,468,5,0,0,48,108,463
aa51,79,274,8,0,0,27,71,268
aa52,66,231,16,0,2,16,48,186
aa53,89,232,9,0,0,37,80,224
aa54,90,233,13,0,0,31,77,222
b-100_1,100,464,0,0,0,0,100,464
b-100_10,100,485,0,0,0,0,100,485
b-100_2,100,482,0,0,0,0,100,482
b-100_3,100,490,0,0,0,1,100,490
b-100_4,100,475,0,0,0,0,100,475
b-100_5,100,459,0,0,0,0,100,459
b-100_6,100,510,0,0,0,0,100,510
b-100_7,100,469,0,0,0,0,100,469
b-100_8,100,492,0,0,0,0,100,492
b-100_9,100,502,0,0,0,1,100,502
b-50_1,50,108,0,0,0,5,50,108
b-50_10,50,108,5,0,1,5,44,94
b-50_2,50,120,3,0,0,4,47,118
b-50_3,50,132,0,0,0,3,50,132
b-50_4,50,111,4,0,0,8,46,108
b-50_5,50,131,0,0,0,3,50,131
b-50_6,50,101,7,0,0,5,43,97
b-50_7,50,124,1,0,1,4,48,116
b-50_8,50,137,0,0,0,4,50,137
b-50_9,50,122,4,0,0,2,46,118
gka_1,50,106,3,0,1,10,46,97
gka_10,30,429,0,0,18,0,12,60
gka_11,40,772,0,0,26,0,14,84
gka_12,50,1209,0,0,26,0,24,264
gka_13,60,1751,0,0,40,0,20,180
gka_14,70,2388,4,0,66,0,0,0
gka_15,80,3125,0,0,46,0,34,544
gka_16,90,3963,4,0,86,0,0,0
gka_17,100,4903,4,0,96,0,0,0
gka_18,125,7666,0,0,118,1,7,16
gka_19,40,625,0,0,1,0,39,588
gka_2,60,163,1,0,1,1,58,149
gka_20,50,763,0,0,0,0,50,763
gka_21,60,701,0,0,0,0,60,701
gka_22,70,720,0,0,0,0,70,720
gka_23,80,641,0,0,0,0,80,641
gka_24,90,400,0,0,0,0,90,400
gka_25,100,495,0,0,0,1,100,495
gka_26,100,494,0,0,0,0,100,494
gka_27,100,1016,0,0,0,0,100,1016
gka_28,100,1425,0,0,0,0,100,1425
gka_29,100,2000,0,0,0,0,100,2000
gka_3,70,223,0,0,0,4,70,223
gka_30,100,2414,0,0,0,0,100,2414
gka_31,100,2948,0,0,0,0,100,2948
gka_32,100,3434,0,0,0,0,100,3434
gka_33,100,3907,0,0,0,0,100,3907
gka_34,100,4346,0,0,0,0,100,4346
gka_35,100,4897,4,0,96,0,0,0
gka_4,80,304,0,0,0,0,80,304
gka_5,50,231,0,0,0,0,50,231
gka_6,30,174,0,0,0,0,30,174
gka_7,30,211,0,0,0,0,30,211
gka_8,100,304,1,0,0,5,99,303
gka_9,20,187,0,0,14,0,6,12
j10,57,117,20,0,0,13,37,97
j11,51,212,14,0,0,8,37,198
j13,78,210,22,0,2,28,54,153
j14,72,107,52,0,1,3,19,55
j15,45,55,44,0,1,0,0,0
j16,14,10,14,0,0,0,0,0
j17,81,322,20,0,0,20,61,304
j18,73,296,15,0,0,11,58,284
j19,101,172,52,0,0,24,49,137
j20,241,640,240,0,1,0,0,0
j21,33,102,18,0,7,1,8,16
j22,76,391,9,0,0,23,67,384
j23,76,369,25,0,0,1,51,345
j24,150,387,88,0,1,19,61,255
j25,14,14,14,0,0,0,0,0
j26,65,156,27,0,0,10,39,130
j28,96,567,22,0,0,17,74,552
