Dataset,original_vertices,original_edges,vertices_removed,edges_removed,oct,bipartite,final_vertices,final_edges
aa10-ba-0,69,198,0,0,1,6,68,179
aa10-ba-1,69,198,0,0,0,1,69,198
aa10-ba-10,69,198,23,0,7,9,40,71
aa10-ba-11,69,198,8,0,4,10,57,119
aa10-ba-12,69,198,2,0,3,9,64,144
aa10-ba-13,69,198,0,0,0,0,69,198
aa10-ba-14,69,198,6,0,3,15,60,132
aa10-ba-2,69,198,2,0,2,9,65,159
aa10-ba-3,69,198,38,0,9,7,22,38
aa10-ba-4,69,198,0,0,0,0,69,198
aa10-ba-5,69,198,0,0,1,5,68,180
aa10-ba-6,69,198,6,0,5,10,58,122
aa10-ba-7,69,198,0,0,0,0,69,198
aa10-ba-8,69,198,7,0,3,11,59,125
aa10-ba-9,69,198,0,0,0,0,69,198
aa10-cl-0,69,182,27,0,4,5,38,113
aa10-cl-1,69,176,28,0,2,6,39,131
aa10-cl-10,69,205,20,0,1,8,48,173
aa10-cl-11,69,189,22,0,1,8,46,151
aa10-cl-12,69,178,30,0,3,5,36,108
aa10-cl-13,69,187,20,0,1,9,48,149
aa10-cl-14,69,186,26,0,2,4,41,135
aa10-cl-2,69,194,30,0,3,5,36,128
aa10-cl-3,69,174,24,0,1,8,44,155
aa10-cl-4,69,210,16,0,2,7,51,167
aa10-cl-5,69,173,27,0,2,7,40,136
aa10-cl-6,69,185,28,0,5,7,36,98
aa10-cl-7,69,180,27,0,2,9,40,140
aa10-cl-8,69,195,27,0,5,7,37,103
aa10-cl-9,69,181,26,0,4,9,39,107
aa10-er-0,69,216,0,0,0,2,69,216
aa10-er-1,69,193,4,0,0,3,65,189
aa10-er-10,69,202,2,0,1,1,66,190
aa10-er-11,69,186,3,0,0,5,66,183
aa10-er-12,69,166,3,0,1,5,65,159
aa10-er-13,69,176,3,0,0,5,66,174
aa10-er-14,69,195,1,0,0,3,68,194
aa10-er-2,69,177,4,0,1,4,64,165
aa10-er-3,69,178,5,0,0,3,64,173
aa10-er-4,69,183,3,0,0,3,66,180
aa10-er-5,69,188,4,0,1,3,64,177
aa10-er-6,69,195,3,0,0,1,66,192
aa10-er-7,69,198,0,0,0,0,69,198
aa10-er-8,69,175,3,0,1,3,65,164
aa10-er-9,69,209,1,0,0,2,68,208
aa10-to-0,69,118,16,0,1,11,52,98
aa10-to-1,69,119,13,0,0,11,56,109
aa10-to-10,69,111,18,0,2,13,49,85
aa10-to-11,69,110,28,0,1,9,41,76
aa10-to-12,69,97,32,0,2,8,37,60
aa10-to-13,69,109,15,0,0,12,54,99
aa10-to-14,69,116,23,0,2,8,44,80
aa10-to-2,69,97,23,0,0,16,46,77
aa10-to-3,69,102,29,0,1,9,39,68
aa10-to-4,69,122,9,0,0,10,60,117
aa10-to-5,69,99,31,0,1,7,37,64
aa10-to-6,69,108,16,0,0,13,53,94
aa10-to-7,69,114,19,0,1,10,49,91
aa10-to-8,69,100,23,0,0,10,47,79
aa10-to-9,69,117,14,0,0,14,55,104
aa11-ba-0,103,300,0,0,1,5,102,278
aa11-ba-1,103,300,0,0,0,1,103,300
aa11-ba-10,103,300,0,0,0,0,103,300
aa11-ba-11,103,300,0,0,0,0,103,300
aa11-ba-12,103,300,0,0,0,0,103,300
aa11-ba-13,103,300,0,0,1,4,102,277
aa11-ba-14,103,300,0,0,0,1,103,300
aa11-ba-2,103,300,0,0,0,0,103,300
aa11-ba-3,103,300,2,0,2,11,99,252
aa11-ba-4,103,300,0,0,0,0,103,300
aa11-ba-5,103,300,0,0,0,0,103,300
aa11-ba-6,103,300,1,0,0,0,102,299
aa11-ba-7,103,300,0,0,0,0,103,300
aa11-ba-8,103,300,8,0,4,12,91,205
aa11-ba-9,103,300,10,0,6,14,87,193
aa11-cl-0,103,278,59,0,9,9,36,104
aa11-cl-1,103,299,49,0,7,14,47,151
aa11-cl-10,103,291,61,0,10,6,32,103
aa11-cl-11,103,309,52,0,7,13,44,147
aa11-cl-12,103,319,50,0,8,6,45,147
aa11-cl-13,103,290,55,0,7,8,41,144
aa11-cl-14,103,301,46,0,5,11,52,195
aa11-cl-2,103,307,48,0,6,7,49,170
aa11-cl-3,103,300,56,0,9,6,38,119
aa11-cl-4,103,320,54,0,9,6,40,132
aa11-cl-5,103,290,48,0,6,10,49,163
aa11-cl-6,103,301,43,0,6,16,54,176
aa11-cl-7,103,282,46,0,4,12,53,172
aa11-cl-8,103,335,53,0,11,10,39,122
aa11-cl-9,103,278,50,0,4,12,49,174
aa11-er-0,103,332,1,0,0,4,102,331
aa11-er-1,103,328,1,0,0,0,102,328
aa11-er-10,103,296,3,0,0,3,100,293
aa11-er-11,103,302,1,0,0,4,102,301
aa11-er-12,103,290,1,0,0,9,102,289
aa11-er-13,103,327,3,0,0,1,100,324
aa11-er-14,103,293,2,0,0,3,101,292
aa11-er-2,103,308,2,0,0,7,101,307
aa11-er-3,103,287,1,0,0,4,102,286
aa11-er-4,103,295,2,0,0,9,101,293
aa11-er-5,103,300,1,0,0,5,102,299
aa11-er-6,103,331,1,0,1,4,101,322
aa11-er-7,103,319,1,0,0,3,102,319
aa11-er-8,103,287,1,0,0,3,102,286
aa11-er-9,103,350,0,0,0,6,103,350
aa11-to-0,103,195,17,0,1,16,85,177
aa11-to-1,103,198,19,0,1,12,83,177
aa11-to-10,103,189,26,0,0,10,77,167
aa11-to-11,103,179,20,0,0,17,83,160
aa11-to-12,103,179,23,0,0,13,80,157
aa11-to-13,103,189,14,0,0,17,90,179
aa11-to-14,103,176,21,0,1,14,81,149
